Coarse Label,Fine Label,Error,Precision,Recall,F1-Score,Population
aquatic mammals,otter,89.0,39.300000000000004,11.0,0.17187499999999997,100
aquatic mammals,seal,83.0,53.1,17.0,0.25757575757575757,100
fish,shark,79.0,55.300000000000004,21.0,0.30434782608695654,100
small mammals,squirrel,78.0,50.0,22.0,0.3055555555555556,100
large carnivores,bear,76.0,49.0,24.0,0.3221476510067114,100
small mammals,mouse,73.0,43.5,27.0,0.3333333333333333,100
reptiles,lizard,72.0,39.4,28.000000000000004,0.3274853801169591,100
trees,willow_tree,70.0,69.8,30.0,0.41958041958041964,100
people,girl,70.0,38.5,30.0,0.33707865168539325,100
people,man,70.0,41.699999999999996,30.0,0.3488372093023256,100
people,woman,69.0,39.2,31.0,0.3463687150837989,100
small mammals,rabbit,69.0,52.5,31.0,0.389937106918239,100
household furniture,couch,68.0,59.3,32.0,0.41558441558441556,100
aquatic mammals,beaver,65.0,38.5,35.0,0.3664921465968586,100
medium-sized mammals,fox,65.0,67.30000000000001,35.0,0.46052631578947373,100
reptiles,turtle,63.0,52.900000000000006,37.0,0.4352941176470588,100
large omnivores and herbivores,kangaroo,63.0,52.900000000000006,37.0,0.4352941176470588,100
household electrical device,lamp,62.0,64.4,38.0,0.47798742138364775,100
people,boy,60.0,35.699999999999996,40.0,0.3773584905660378,100
fish,ray,59.0,60.3,41.0,0.488095238095238,100
non-insect invertebrates,lobster,59.0,35.3,41.0,0.37962962962962965,100
vehicles 1,bus,59.0,45.6,41.0,0.43157894736842106,100
household furniture,bed,57.99999999999999,48.3,42.0,0.4491978609625668,100
medium-sized mammals,possum,56.99999999999999,41.3,43.0,0.4215686274509804,100
large omnivores and herbivores,cattle,56.99999999999999,61.4,43.0,0.5058823529411766,100
people,baby,56.00000000000001,55.7,44.0,0.49162011173184356,100
food containers,bowl,55.00000000000001,48.9,45.0,0.46875,100
small mammals,shrew,55.00000000000001,27.800000000000004,45.0,0.34351145038167935,100
vehicles 1,train,54.0,71.89999999999999,46.0,0.5609756097560976,100
large natural outdoor scenes,forest,53.0,58.8,47.0,0.5222222222222221,100
household furniture,table,53.0,63.5,47.0,0.5402298850574712,100
non-insect invertebrates,spider,53.0,77.0,47.0,0.5838509316770186,100
reptiles,crocodile,51.0,34.300000000000004,49.0,0.4032921810699588,100
reptiles,dinosaur,50.0,64.1,50.0,0.5617977528089888,100
aquatic mammals,dolphin,50.0,46.7,50.0,0.4830917874396135,100
reptiles,snake,50.0,39.4,50.0,0.4405286343612335,100
trees,pine_tree,49.0,53.7,51.0,0.523076923076923,100
insects,caterpillar,49.0,59.3,51.0,0.5483870967741936,100
fruit and vegetables,sweet_pepper,47.0,58.9,53.0,0.5578947368421053,100
household electrical device,clock,47.0,58.199999999999996,53.0,0.5549738219895288,100
fruit and vegetables,pear,46.0,71.1,54.0,0.6136363636363636,100
non-insect invertebrates,snail,45.0,61.8,55.00000000000001,0.582010582010582,100
non-insect invertebrates,worm,45.0,75.3,55.00000000000001,0.6358381502890174,100
large omnivores and herbivores,camel,45.0,58.5,55.00000000000001,0.5670103092783506,100
food containers,bottle,44.0,80.0,56.00000000000001,0.6588235294117648,100
fruit and vegetables,mushroom,44.0,50.5,56.00000000000001,0.5308056872037915,100
flowers,rose,43.0,64.0,56.99999999999999,0.6031746031746033,100
non-insect invertebrates,crab,41.0,40.699999999999996,59.0,0.48163265306122444,100
trees,maple_tree,41.0,59.599999999999994,59.0,0.5929648241206029,100
flowers,tulip,41.0,47.599999999999994,59.0,0.5267857142857142,100
flowers,poppy,40.0,67.4,60.0,0.6349206349206349,100
food containers,plate,40.0,58.8,60.0,0.5940594059405941,100
medium-sized mammals,porcupine,39.0,43.9,61.0,0.5104602510460251,100
large man-made outdoor things,bridge,38.0,59.0,62.0,0.6048780487804878,100
large natural outdoor scenes,sea,38.0,81.6,62.0,0.7045454545454546,100
insects,beetle,38.0,56.89999999999999,62.0,0.5933014354066987,100
fish,flatfish,37.0,52.900000000000006,63.0,0.5753424657534247,100
household electrical device,television,37.0,58.3,63.0,0.6057692307692308,100
aquatic mammals,whale,37.0,50.4,63.0,0.56,100
vehicles 2,rocket,36.0,83.1,64.0,0.7231638418079096,100
small mammals,hamster,36.0,68.10000000000001,64.0,0.6597938144329897,100
insects,butterfly,35.0,55.60000000000001,65.0,0.5990783410138248,100
vehicles 2,tractor,35.0,73.0,65.0,0.6878306878306878,100
household electrical device,telephone,35.0,54.2,65.0,0.5909090909090908,100
food containers,can,34.0,52.800000000000004,66.0,0.5866666666666666,100
large carnivores,leopard,34.0,47.5,66.0,0.5523012552301255,100
flowers,orchid,33.0,74.4,67.0,0.7052631578947369,100
insects,bee,32.0,63.0,68.0,0.6538461538461539,100
large carnivores,lion,31.0,61.6,69.0,0.6509433962264152,100
large omnivores and herbivores,elephant,30.0,48.6,70.0,0.5737704918032787,100
vehicles 1,pickup_truck,30.0,67.30000000000001,70.0,0.6862745098039216,100
fish,aquarium_fish,28.999999999999996,78.9,71.0,0.7473684210526317,100
large carnivores,wolf,28.999999999999996,39.7,71.0,0.5089605734767025,100
medium-sized mammals,raccoon,28.999999999999996,50.7,71.0,0.5916666666666667,100
vehicles 1,bicycle,28.000000000000004,62.6,72.0,0.6697674418604651,100
insects,cockroach,27.0,83.0,73.0,0.7765957446808511,100
food containers,cup,26.0,76.3,74.0,0.7512690355329948,100
vehicles 2,lawn_mower,26.0,77.10000000000001,74.0,0.7551020408163266,100
large man-made outdoor things,castle,26.0,71.8,74.0,0.729064039408867,100
vehicles 2,streetcar,25.0,39.5,75.0,0.5172413793103448,100
household furniture,chair,24.0,71.0,76.0,0.7342995169082127,100
vehicles 2,tank,24.0,59.4,76.0,0.6666666666666666,100
large man-made outdoor things,house,24.0,48.1,76.0,0.5891472868217054,100
fish,trout,24.0,66.10000000000001,76.0,0.7069767441860464,100
large omnivores and herbivores,chimpanzee,22.0,65.0,78.0,0.709090909090909,100
large man-made outdoor things,skyscraper,21.0,77.5,79.0,0.7821782178217823,100
household electrical device,computer_keyboard,20.0,61.1,80.0,0.6926406926406927,100
large carnivores,tiger,20.0,53.0,80.0,0.6374501992031872,100
large natural outdoor scenes,cloud,20.0,69.6,80.0,0.7441860465116279,100
large natural outdoor scenes,mountain,20.0,60.6,80.0,0.689655172413793,100
trees,palm_tree,19.0,82.69999999999999,81.0,0.8181818181818183,100
medium-sized mammals,skunk,17.0,83.0,83.0,0.83,100
large natural outdoor scenes,plain,16.0,75.0,84.0,0.7924528301886793,100
trees,oak_tree,15.0,46.400000000000006,85.0,0.6007067137809188,100
large man-made outdoor things,road,12.0,90.7,88.0,0.8934010152284264,100
household furniture,wardrobe,12.0,68.8,88.0,0.7719298245614036,100
flowers,sunflower,12.0,84.6,88.0,0.8627450980392156,100
fruit and vegetables,apple,12.0,77.2,88.0,0.822429906542056,100
fruit and vegetables,orange,8.0,70.8,92.0,0.8,100
vehicles 1,motorcycle,7.000000000000001,49.2,93.0,0.643598615916955,100
