model_id,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate,
cnn_20240310_215215,1,0.0458,4.562469482,0.017999999,4.751470566,0.001,
cnn_20240310_215215,2,0.080140002,4.123322964,0.111199997,3.828223467,0.001,
cnn_20240310_215215,3,0.098520003,3.936652899,0.170599997,3.472842693,0.001,
cnn_20240310_215215,4,0.114519998,3.818080902,0.133300006,3.712541342,0.001,
cnn_20240310_215215,5,0.134320006,3.681895018,0.168200001,3.437987804,0.0002,
cnn_20240310_215215,6,0.142360002,3.638594389,0.205400005,3.261726618,0.0002,
cnn_20240310_215215,7,0.141859993,3.623136044,0.191499993,3.327392101,0.0002,
cnn_20240310_215215,8,0.148800001,3.588331223,0.203799993,3.277767897,4.00E-05,
cnn_20240310_220145,1,0.0491,4.54062891,0.0115,4.995723724,0.001,
cnn_20240310_220145,2,0.078220002,4.124676704,0.126699999,3.750639915,0.001,
cnn_20240310_220145,3,0.100639999,3.926686049,0.139699996,3.62800312,0.001,
cnn_20240310_220145,4,0.116999999,3.803284645,0.161200002,3.461565971,0.001,
cnn_20240310_220145,5,0.1294,3.71979475,0.170200005,3.476755857,0.001,
cnn_20240310_220145,6,0.136340007,3.65437007,0.200599998,3.253103018,0.001,
cnn_20240310_220145,7,0.149800003,3.600664139,0.205599993,3.240283251,0.001,
cnn_20240310_220145,8,0.157340005,3.552727222,0.232700005,3.117710114,0.001,
cnn_20240310_220145,9,0.160280004,3.526474714,0.226899996,3.136654615,0.001,
cnn_20240310_220145,10,0.164759994,3.487507582,0.1954,3.264294147,0.001,
cnn_20240310_220145,11,0.178900003,3.409433126,0.247299999,3.038091421,0.0002,
cnn_20240310_220145,12,0.184300005,3.38451314,0.261299998,2.965497971,0.0002,
cnn_20240310_220145,13,0.187859997,3.36955905,0.274399996,2.900489569,0.0002,
cnn_20240310_220145,14,0.190139994,3.354818344,0.263200015,2.956321955,0.0002,
cnn_20240310_220145,15,0.191660002,3.347025871,0.268700004,2.929073811,0.0002,
